"Series Data"
"C:\Users\adcp-user\Documents\ADCP data\OC4920_2025\OC4920_2025_20250506T095214_002_000000.LTA"
"Broadband 153.6 kHz"
"Pings/Ens ="	75
"Time/Ping = 00:00.00"
"First Ensemble Date = 25/05/06"
"First Ensemble Time = 09:52:43.01"
"Ensemble Interval (s) = "	300,04
"1st Bin Range (m) = "	12,23
"Bin Size (m) ="	4,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Pit"	"Rol"	"Hea"	"Dep"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"deg"	"deg"	"deg"	"m"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	     "deg"	     "deg"	     "deg"	     "deg"
													1	2	3	4	5	6	7	8	9	10	1	2	3	4	5	6	7	8	9	10

28	25	05	06	12	07	44	02		-0,21	-0,34	251,00	0,000	-10	58	5	-1229							10	-3	-37	-614							57,50834327	11,30286835	57,50323257	11,28352485
29	25	05	06	12	12	45	00		-0,24	-0,48	248,10	0,000	-34	-76	-1022								89	21	-586								57,50318840	11,28335654	57,49685403	11,25914801
30	25	05	06	12	17	43	03		-0,26	-0,49	246,27	0,000	-258	-738									-48	-333									57,49528334	11,25311664	57,49011054	11,23346955
31	25	05	06	12	22	45	02		-0,27	-0,51	249,63	0,000																					57,49006812	11,23330065	57,48028326	11,20567373
32	25	05	06	12	27	45	06		-0,19	-0,28	245,53	0,000																					57,48028326	11,20567373	57,47286846	11,18565699
33	25	05	06	12	32	44	02		-0,28	-0,04	236,37	0,000	-659										-503										57,47286846	11,18565699	57,46092282	11,15824004
34	25	05	06	12	37	44	02		-0,21	-0,01	232,20	0,000	-577										-780										57,46068335	11,15769999	57,45078139	11,13931580
35	25	05	06	12	42	45	02		-0,16	-0,33	232,83	0,000	154										345										57,45066170	11,13913667	57,44144998	11,12420004
36	25	05	06	12	47	43	04		-0,27	-0,05	225,71	0,000																					57,44124899	11,12384431	57,42660002	11,10015001
37	25	05	06	12	52	46	06		-0,28	-0,29	225,12	0,000																					57,42944660	11,10471983	57,41808333	11,08696670
